"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"1","259011_2022-09-13","0.65",0.65,FALSE,"",0.65,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"62.1",62.1,FALSE,"",62.1,"<0.05",0.05,TRUE,"",-1,"259011",2022-09-13 12:25:00,"City of Billings",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"2","259011_2023-02-07","3.2",3.2,FALSE,"",3.2,"<0.05",0.05,TRUE,"",-1,"3.2",3.2,FALSE,"",3.2,"74.27",74.27,FALSE,"",74.27,"0.36",0.36,FALSE,"",0.36,"259011",2023-02-07 11:00:00,"City of Billings",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"3","259011_2023-03-14","2.000",2,FALSE,"",2,"<0.050 U",0.05,TRUE," U",-1,"1.970",1.97,FALSE,"",1.97,"66.700",66.7,FALSE,"",66.7,"433.000",0.433,FALSE,"",433,"259011",2023-03-14 10:57:00,"MBMG",45.75489,-108.72027,"STREAM","","Stream","blue",21,"black",2
"4","259011_2023-04-11","1.54",1.54,FALSE,"",1.54,"0.04",0.04,FALSE,"",0.04,"1.58",1.58,FALSE,"",1.58,"72",72,FALSE,"",72,"0.5",0.5,FALSE,"",0.5,"259011",2023-04-11 11:02:00,"Energy Labs",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"5","259011_2023-06-09","0.2",0.2,FALSE,"",0.2,"<0.01",0.01,TRUE,"",-1,"0.21",0.21,FALSE,"",0.21,"33",33,FALSE,"",33,"0.1",0.1,FALSE,"",0.1,"259011",2023-06-09 11:00:00,"Energy Labs",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"6","259011_2023-08-03","0.17",0.17,FALSE,"",0.17,"<0.01",0.01,TRUE,"",-1,"0.17",0.17,FALSE,"",0.17,"10",10,FALSE,"",10,"<0.01",0.01,TRUE,"",-1,"259011",2023-08-03,"Energy Labs",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"7","259011_2023-08-29","0.120",0.12,FALSE,"",0.12,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"9.370",9.37,FALSE,"",9.37,"41.000 J",0.041,FALSE," J",41,"259011",2023-08-29 12:23:00,"MBMG",45.75489,-108.72027,"STREAM","","Stream","blue",21,"black",2
"8","259011_2024-01-25","1.69",1.69,FALSE,"",1.69,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"66.1",66.1,FALSE,"",66.1,"0.336",0.336,FALSE,"",0.336,"259011",2024-01-25 08:50:00,"City of Billings",45.75489,-108.72027,"STREAM",NA,"Stream","blue",21,"black",2
"9","319268_2022-09-13","1.45",1.45,FALSE,"",1.45,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"49.9",49.9,FALSE,"",49.9,"<0.05",0.05,TRUE,"",-1,"319268",2022-09-13 11:44:00,"City of Billings",45.71976,-108.59643,"STREAM",NA,"Stream","blue",21,"black",2
"10","319268_2023-02-07","3.37",3.37,FALSE,"",3.37,"<0.05",0.05,TRUE,"",-1,"3.37",3.37,FALSE,"",3.37,"40.18",40.18,FALSE,"",40.18,"0.13",0.13,FALSE,"",0.13,"319268",2023-02-07 13:00:00,"City of Billings",45.71976,-108.59643,"STREAM",NA,"Stream","blue",21,"black",2
"11","319268_2023-03-14","3.420",3.42,FALSE,"",3.42,"0.050",0.05,FALSE,"",0.05,"3.140",3.14,FALSE,"",3.14,"49.630",49.63,FALSE,"",49.63,"181.000",0.181,FALSE,"",181,"319268",2023-03-14 11:49:00,"MBMG",45.71976,-108.59643,"STREAM","","Stream","blue",21,"black",2
"12","319268_2023-04-11","2.1",2.1,FALSE,"",2.1,"0.04",0.04,FALSE,"",0.04,"2.14",2.14,FALSE,"",2.14,"45",45,FALSE,"",45,"0.2",0.2,FALSE,"",0.2,"319268",2023-04-11 13:33:00,"Energy Labs",45.71976,-108.59643,"STREAM",NA,"Stream","blue",21,"black",2
"13","319268_2023-06-09","0.34",0.34,FALSE,"",0.34,"0.01",0.01,FALSE,"",0.01,"0.35",0.35,FALSE,"",0.35,"15",15,FALSE,"",15,"<0.01",0.01,TRUE,"",-1,"319268",2023-06-09 12:00:00,"Energy Labs",45.71976,-108.59643,"STREAM",NA,"Stream","blue",21,"black",2
"14","319268_2023-08-03","0.37",0.37,FALSE,"",0.37,"<0.01",0.01,TRUE,"",-1,"0.37",0.37,FALSE,"",0.37,"9.0",9,FALSE,"",9,"<0.01",0.01,TRUE,"",-1,"319268",2023-08-03,"Energy Labs",45.71976,-108.59643,"STREAM",NA,"Stream","blue",21,"black",2
